# x,top,bottom,cryosphere,recharge
2.444999999999999951e-01,9.662218577885772763e-01,3.877235504444101477e-01,9.662218577885772763e-01,9.662218577885772763e-01
2.454999999999999960e-01,9.670117688506908449e-01,3.884736285150825474e-01,9.670117688506908449e-01,9.670117688506908449e-01
2.464999999999999969e-01,9.678016799128045244e-01,3.892237065857548917e-01,9.678016799128045244e-01,9.678016799128045244e-01
2.474999999999999978e-01,9.685915909749180930e-01,3.899737846564272359e-01,9.685915909749180930e-01,9.685915909749180930e-01
2.484999999999999987e-01,9.693815020370316615e-01,3.907238627270995801e-01,9.693815020370316615e-01,9.693815020370316615e-01
2.494999999999999996e-01,9.701714130991453411e-01,3.914739407977719798e-01,9.701714130991453411e-01,9.701714130991453411e-01
2.505000000000000004e-01,9.709613241612589096e-01,3.922240188684443241e-01,9.709613241612589096e-01,9.709613241612589096e-01
2.515000000000000013e-01,9.717512352233725892e-01,3.929740969391166683e-01,9.717512352233725892e-01,9.717512352233725892e-01
2.525000000000000022e-01,9.725411462854861577e-01,3.937241750097890680e-01,9.725411462854861577e-01,9.725411462854861577e-01
2.535000000000000031e-01,9.733310573475998373e-01,3.944742530804614122e-01,9.733310573475998373e-01,9.733310573475998373e-01
2.545000000000000040e-01,9.741209684097134058e-01,3.952243311511337565e-01,9.741209684097134058e-01,9.741209684097134058e-01
2.555000000000000049e-01,9.752294247148841633e-01,3.959744092218061007e-01,9.752294247148841633e-01,9.752294247148841633e-01
2.565000000000000058e-01,9.764027630493780086e-01,3.969151321872579907e-01,9.764027630493780086e-01,9.764027630493780086e-01
2.575000000000000067e-01,9.775761013838718538e-01,3.981485677486623076e-01,9.775761013838718538e-01,9.775761013838718538e-01
2.585000000000000075e-01,9.787494397183658101e-01,3.993820033100666245e-01,9.787494397183658101e-01,9.787494397183658101e-01
2.595000000000000084e-01,9.799227780528596554e-01,4.006154388714709413e-01,9.799227780528596554e-01,9.799227780528596554e-01
2.605000000000000093e-01,9.810961163873535007e-01,4.018488744328752027e-01,9.810961163873535007e-01,9.810961163873535007e-01
2.615000000000000102e-01,9.822694547218473460e-01,4.030823099942795196e-01,9.822694547218473460e-01,9.822694547218473460e-01
2.625000000000000111e-01,9.834427930563411913e-01,4.043157455556838364e-01,9.834427930563411913e-01,9.834427930563411913e-01
2.635000000000000120e-01,9.846161313908350365e-01,4.055491811170881533e-01,9.846161313908350365e-01,9.846161313908350365e-01
2.645000000000000129e-01,9.857894697253288818e-01,4.067826166784924702e-01,9.857894697253288818e-01,9.857894697253288818e-01
2.655000000000000138e-01,9.869628080598227271e-01,4.080160522398967871e-01,9.869628080598227271e-01,9.869628080598227271e-01
2.665000000000000147e-01,9.881361463943166834e-01,4.085156108477225323e-01,9.881361463943166834e-01,9.881361463943166834e-01
